doi,title,notes,verified_date
10.1175/mwr-d-24-0111.1,Using a Numerical Model to Evaluate a Proposed Mechanism for Nocturnal Low-Level Jets and Ascent over a Warm Tongue,Manual review of failed scan — CLAMPS hit,2026-06-11
10.5194/amt-17-6603-2024,Improving solution availability and temporal consistency of an optimal-estimation physical retrieval for ground-based thermodynamic boundary layer profiling,Manual review of failed scan — CLAMPS hit,2026-06-11
10.5194/egusphere-2025-4814,Intercomparison of Seven Collocated Ground-based Infrared Spectrometer Radiance Observations and Retrieved Thermodynamic Profiles,Manual review of failed scan — CLAMPS hit,2026-06-11
10.22541/essoar.175408228.87136314/v1,Dependence of Boundary Layer Variability and HRRRv4 Model Performance on Cloudiness Over a Mid-latitude Heterogeneous Land Surface: Results from CHEESEHEAD19,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1175/mwr-d-19-0091.1,Observations of Near-Surface Vertical Wind Profiles and Vertical Momentum Fluxes from VORTEX-SE 2017: Comparisons to Monin–Obukhov Similarity Theory,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1117/12.2576046,Convective boundary-layer height estimation from combined radar and Doppler lidar observations in VORTEX-SE,Manual review of failed scan — CLAMPS hit,2026-06-11
10.5194/wes-2025-79,Emerging mobile lidar technology to study boundary-layer winds influenced by operating turbines,Manual review of failed scan — CLAMPS hit,2026-06-11
10.5194/wes-2021-36,Meso- to micro-scale modeling of atmospheric stability effects on wind turbine wake behavior in complex terrain,Manual review of failed scan — CLAMPS hit,2026-06-11
10.5194/wes-2019-85,Multi-lidar wind resource mapping in complex terrain,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1002/qj.4402,Estimating the benefit of Doppler wind lidars for short-term low-level wind ensemble forecasts,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1002/we.1978,Testing and validation of multi-lidar scanning strategies for wind energy applications,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1029/2021jd035697,Simultaneous Observations of Surface Layer Profiles of Humidity Temperature and Wind Using Scanning Lidar Instruments,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1029/2022jd037138,Space-Scale Resolved Surface Fluxes Across a Heterogeneous Mid-Latitude Forested Landscape,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1029/2024ms004601,Quantifying UAS Observation Error Variance Used in Data Assimilation Systems and Its Impact on Predictive Skill,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1002/essoar.10509869.1,The Mobile Atmospheric Profiling Network (MAPNet): Capabilities and Research Applications,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1175/jas-d-24-0185.1,An Observational Evaluation of RKW Theory over the U.S. Southern Great Plains,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1175/jas-d-20-0117.1,Dynamics of Simulated High-Shear Low-CAPE Supercells,Manual review of failed scan — CLAMPS hit,2026-06-11
10.1175/mwr-d-21-0284.1,An OSSE Study of the Impact of Micropulse Differential Absorption Lidar (MPD) Water Vapor Profiles on Convective Weather Forecasting,Manual review of failed scan — CLAMPS hit,2026-06-11
10.5281/zenodo.3490976,Doppler lidar scanning of flow over complex terrain,Manual review — no PDF URL; CLAMPS hit,2026-06-11
10.1088/1742-6596/1037/7/072017,Challenges in using scanning lidars to estimate wind resources in complex terrain,Manual review — no PDF URL; CLAMPS hit,2026-06-11
10.5194/egusphere-egu22-7498,LAFE and LAFO: New experimental and observational investigations of land-atmosphere feedback processes,Manual review — no PDF URL; CLAMPS hit,2026-06-11
