work_key,doi,openalex_id,title,year,work_type,corpus_class,corpus_source,inclusion_pathway,in_ground_truth_registry,in_seed_dataset_registry,discovery_channel,discovery_source,confidence_tier,campaign_labels_auto,campaign_labels_final,manual_campaign_review,source_link,pdf_url,cited_by_count,openalex_type,manual_thesis_flag
doi:10.2172/1232651,10.2172/1232651,https://openalex.org/W2362079040,"Holistic Interactions of Shallow Clouds, Aerosols, and Land-Ecosystems (HI-SCALE) Science Plan",2015,Report,report,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:PECAN+Doppler lidar,high,PECAN,Multi/None,yes,http://dx.doi.org/10.2172/1232651,https://www.osti.gov/servlets/purl/1232651,0,report,
doi:10.5194/amt-9-4269-2016,10.5194/amt-9-4269-2016,https://openalex.org/W2513380708,1064 nm rotational Raman lidar for particle extinction and lidar-ratio profiling: cirrus case study,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:RIVoRS+Doppler lidar,high,Multi/None,Multi/None,yes,https://www.atmos-meas-tech.net/9/4269/2016/amt-9-4269-2016.pdf,,85,article,
doi:10.5445/ir/1000063305,10.5445/ir/1000063305,https://openalex.org/W2621192471,Coherent Structures in the Atmospheric Boundary Layer Measured by Dual Doppler Lidar,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://publikationen.bibliothek.kit.edu/1000063305,,0,article,
doi:10.5194/angeo-34-1209-2016,10.5194/angeo-34-1209-2016,https://openalex.org/W2563234241,"Derivation of turbulent energy dissipation rate with the Middle Atmosphere Alomar Radar System (MAARSY) and radiosondes at Andøya, Norway",2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://angeo.copernicus.org/articles/34/1209/2016/angeo-34-1209-2016.pdf,,40,article,
doi:10.1038/ncomms11690,10.1038/ncomms11690,https://openalex.org/W2408706002,Differences in the efficacy of climate forcings explained by variations in atmospheric boundary layer depth,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.nature.com/articles/ncomms11690.pdf,,107,article,
doi:10.1051/photon/20168428,10.1051/photon/20168428,https://openalex.org/W2561561529,Détection et caractérisation des tourbillons de sillage des avions par Lidar Doppler,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:VORTEX-SE+Doppler lidar,high,VORTEX-SE,VORTEX-SE,no,https://www.photoniques.com/articles/photon/pdf/2016/05/photon201684p28.pdf,,0,article,
doi:10.5194/amt-9-1993-2016,10.5194/amt-9-1993-2016,https://openalex.org/W2177179844,Evaluation of three lidar scanning strategies for turbulence measurements,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.atmos-meas-tech.net/9/1993/2016/amt-9-1993-2016.pdf,,69,article,
doi:10.1088/1748-9326/11/4/044024,10.1088/1748-9326/11/4/044024,https://openalex.org/W2339747233,Ground-level climate at a peatland wind farm in Scotland is affected by wind turbine operation,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://iopscience.iop.org/article/10.1088/1748-9326/11/4/044024/pdf,,60,article,
doi:10.1007/s11214-016-0239-2,10.1007/s11214-016-0239-2,https://openalex.org/W2338061525,History and Applications of Dust Devil Studies,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:EPIC+Doppler lidar,high,Multi/None,Multi/None,yes,https://link.springer.com/content/pdf/10.1007%2Fs11214-016-0239-2.pdf,,52,article,
doi:10.5194/acp-16-2459-2016,10.5194/acp-16-2459-2016,https://openalex.org/W1786083780,"Mixing layer height and its implications for air pollution over Beijing, China",2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.atmos-chem-phys.net/16/2459/2016/acp-16-2459-2016.pdf,,445,article,
